,price,area,bath,room,parking,year,property_type,near_cc,near_school,near_parks,near_avenue,security,elevator,rest_area,pool,ranking
189,70518,46,2,3,1,2023,1,0,0,1,0,0,0,0,0,4.66
190,107973,65,2,2,1,2023,1,1,1,0,1,0,1,0,0,4.49
191,75876,50,2,2,1,2023,1,0,0,1,0,0,0,0,0,4.66
192,124384,36,2,3,0,2023,1,0,0,0,0,0,0,0,0,4.11
193,132731,59,2,2,0,2023,1,1,1,0,0,0,1,0,0,5.0
194,107837,63,2,3,0,2023,1,1,1,1,1,0,0,0,0,1.51
195,178378,62,2,2,1,2023,1,1,1,1,0,0,1,1,0,5.0
196,117264,70,2,3,0,2023,1,1,1,1,0,0,0,1,0,4.4
197,150701,68,2,2,0,2023,1,1,1,0,0,0,1,0,0,5.0
198,115090,68,2,2,1,2023,1,1,1,0,0,0,1,1,0,4.66
199,113243,65,2,3,0,2023,1,1,1,1,1,0,0,0,0,1.51
200,128378,45,2,3,1,2023,1,1,1,1,0,0,1,1,0,5.0
201,74021,43,2,3,0,2023,1,1,1,1,0,0,0,1,0,4.4
202,193031,76,2,3,0,2023,1,0,0,1,0,0,0,1,0,5.0
203,104351,60,2,2,0,2023,1,1,1,1,1,0,0,0,0,1.51
204,158108,61,2,2,1,2023,1,1,1,1,0,0,1,1,0,5.0
205,125102,75,2,3,0,2023,1,1,1,1,0,0,0,1,0,4.4
206,134953,41,2,3,0,2023,1,0,0,0,0,0,0,0,0,4.11
207,142835,76,2,3,0,2023,1,0,0,1,0,0,0,0,0,4.59
208,114864,45,2,3,1,2023,1,1,1,1,0,0,1,1,0,5.0
209,118886,71,2,3,0,2023,1,1,1,1,0,0,0,1,0,4.4
210,120540,70,2,2,0,2023,1,1,1,1,0,0,1,1,1,3.21
211,143947,60,2,3,0,2023,1,1,0,1,1,0,0,0,0,5.0
212,152162,85,2,3,1,2023,1,1,1,0,1,0,1,1,0,4.4
213,168017,75,2,2,0,2023,1,1,0,1,1,0,0,0,0,5.0
214,148944,70,2,3,0,2023,1,1,1,1,1,0,0,0,0,4.59
215,122162,72,2,3,1,2023,1,1,1,0,1,0,1,0,0,4.49
216,154054,60,2,2,1,2023,1,1,1,1,0,0,1,1,0,5.0
217,130810,73,2,2,0,2023,1,1,1,1,0,0,1,1,1,3.21
218,102600,40,2,3,0,2023,1,1,1,1,1,0,0,0,0,4.59
219,122162,72,2,2,1,2023,1,1,1,0,1,0,1,0,0,4.49
220,225000,149,2,3,1,2014,1,1,1,0,0,0,0,0,0,4.59
221,82432,48,2,3,0,2023,1,1,1,1,0,0,1,1,1,3.21
222,91081,58,2,2,0,2023,1,1,1,1,0,0,1,1,1,3.21
